revision_condition_id,means_side_effect,evitability,agency_mode,n_rows,n_valid_revision_rows,parse_invalid_rate,perm_n_wrong_before,perm_n_correct_before,perm_n_ambiguous_before,perm_error_correction_rate,perm_harmful_flip_rate,perm_net_correction_gain,intent_n_wrong_before,intent_n_correct_before,intent_n_ambiguous_before,intent_error_correction_rate,intent_harmful_flip_rate,intent_net_correction_gain,over_revision_rate,perm_distance_improved_rate,perm_distance_worsened_rate,perm_distance_first_mean,perm_distance_final_mean,perm_distance_net_improvement_rate,perm_distance_mean_delta,intent_distance_improved_rate,intent_distance_worsened_rate,intent_distance_first_mean,intent_distance_final_mean,intent_distance_net_improvement_rate,intent_distance_mean_delta
christian_examen,means,evitable,commission,10,10,0.0,0,4,6,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.8,0.0,0.2,0.3103048000000001,0.5103048000000001,-0.2,0.2,0.5,0.1,0.7218333,0.6046488999999999,0.4,-0.11718440000000008
christian_examen,means,evitable,omission,10,10,0.0,0,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,1.0,0.7,0.2,0.8434784,0.5885376,0.49999999999999994,-0.25494079999999997,0.8,0.0,1.3664032000000002,0.5664032000000001,0.8,-0.8
christian_examen,means,inevitable,commission,10,10,0.0,0,9,1,0.0,0.0,0.0,0,2,8,0.0,0.0,0.0,0.5,0.0,0.0,0.21172580000000002,0.21172580000000002,0.0,0.0,0.5,0.0,0.9787879,0.6008657,0.5,-0.3779222000000001
christian_examen,means,inevitable,omission,10,10,0.0,0,5,5,0.0,0.0,0.0,0,1,9,0.0,0.0,0.0,0.4,0.3,0.1,0.5624505000000001,0.36245050000000006,0.19999999999999998,-0.2,0.2,0.0,1.0595238,0.8880952,0.2,-0.17142860000000004
christian_examen,side_effect,evitable,commission,10,10,0.0,0,5,5,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.8,0.3,0.0,0.3401751000000001,0.20381130000000014,0.3,-0.13636379999999998,0.7,0.1,0.8286749,0.4456335,0.6,-0.3830414
christian_examen,side_effect,evitable,omission,10,10,0.0,0,1,9,0.0,0.0,0.0,0,2,8,0.0,0.0,0.0,1.0,0.8,0.1,0.8840862,0.3256258,0.7000000000000001,-0.5584604,0.9,0.0,1.1966214,0.2966214,0.9,-0.8999999999999999
christian_examen,side_effect,inevitable,commission,10,10,0.0,0,10,0,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.4,0.1,0.2,0.3186335000000001,0.35776410000000014,-0.1,0.039130600000000015,0.4,0.0,1.0913044,0.6913044,0.4,-0.4
christian_examen,side_effect,inevitable,omission,10,10,0.0,0,8,2,0.0,0.0,0.0,0,1,9,0.0,0.0,0.0,0.3,0.2,0.0,0.3337475,0.19461710000000002,0.2,-0.13913039999999996,0.3,0.0,1.0604555,0.7604555,0.3,-0.30000000000000004
christian_identity_only,means,evitable,commission,10,10,0.0,0,4,6,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,1.0,0.0,0.6,0.3103048000000001,0.9193582000000001,-0.6,0.6090534000000001,0.4,0.3,0.7218333,0.8872575,0.10000000000000003,0.16542420000000002
christian_identity_only,means,evitable,omission,10,10,0.0,0,0,10,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,1.0,0.1,0.8,0.8434784,1.552174,-0.7000000000000001,0.7086956,0.2,0.0,1.3664032000000002,1.1664032,0.2,-0.20000000000000018
christian_identity_only,means,inevitable,commission,10,10,0.0,0,9,1,0.0,0.3333333333333333,-0.3333333333333333,0,2,8,0.0,0.0,0.0,1.0,0.0,0.5,0.21172580000000002,1.0030302,-0.5,0.7913044,0.6,0.0,0.9787879,0.5702803,0.6,-0.4085076000000001
christian_identity_only,means,inevitable,omission,10,10,0.0,0,5,5,0.0,0.2,-0.2,0,1,9,0.0,0.0,0.0,1.0,0.1,0.4,0.5624505000000001,0.9624505000000001,-0.30000000000000004,0.4,0.5,0.0,1.0595238,0.688528,0.5,-0.3709958
christian_identity_only,side_effect,evitable,commission,10,10,0.0,0,5,5,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,1.0,0.3,0.4,0.3401751000000001,0.4594673000000001,-0.10000000000000003,0.11929219999999996,0.8,0.1,0.8286749,0.4365425,0.7000000000000001,-0.3921324
christian_identity_only,side_effect,evitable,omission,10,10,0.0,0,1,9,0.0,0.0,0.0,0,2,8,0.0,0.0,0.0,1.0,0.1,0.8,0.8840862,1.6188688,-0.7000000000000001,0.7347826,0.2,0.0,1.1966214,0.9966214,0.2,-0.19999999999999996
christian_identity_only,side_effect,inevitable,commission,10,10,0.0,0,10,0,0.0,0.0,0.0,0,0,10,0.0,0.0,0.0,1.0,0.1,0.4,0.3186335000000001,0.5577641000000002,-0.30000000000000004,0.23913060000000008,0.9,0.0,1.0913044,0.27991720000000003,0.9,-0.8113872
